Serial No,Type,District,Area,Dealer name,Mobile No,Address,NaPanta Mobile App
102,Seed Dealers,Kanpur City,Kalyanpur,SHUBHAM SEEDS,,75/213 RANJIT PURWA KANPUR BLOCK KALYANPUR,For Free Alerts
103,Seed Dealers,Kanpur City,Kalyanpur,SHUKLA ENTERPRISES,,GRAM TIKRA KALYANPUR KANPUR BLOCK KALYANPUR,For Free Alerts
104,Seed Dealers,Kanpur City,Kalyanpur,SHUKLA SEED COMPANY,,50/275 HALSI ROAD KANPUR BLOCK KALYANPUR,For Free Alerts
105,Seed Dealers,Kanpur City,Kalyanpur,SINGH BEEJ BHANDAR,,GRAM KAINDHA KANPUR BLOCK KALYANPUR,For Free Alerts
106,Seed Dealers,Kanpur City,Kalyanpur,SONU BEEJ BHANDAR,,SHIVLI ROAD TIKRA KALYANPUR KANPUR BLOCK KALYANPUR,For Free Alerts
107,Seed Dealers,Kanpur City,Kalyanpur,SUN SEEDS,,87/8 KALPI ROAD KANPUR BLOCK KALYANPUR,For Free Alerts
108,Seed Dealers,Kanpur City,Kalyanpur,SURYA UDHYOG,,314 MEERPUR CHAWANI KANPUR. BLOCK KALAYANPUR,For Free Alerts
109,Seed Dealers,Kanpur City,Kalyanpur,SWDESHI SEEDS COMPANY,,SABJI MANDI KANPUR BLOCK KALYANPUR,For Free Alerts
110,Seed Dealers,Kanpur City,Kalyanpur,UP AGRO AGENCY,,DHANKUTTI KANPUR BLOCK KALYANPUR,For Free Alerts
111,Seed Dealers,Kanpur City,Kalyanpur,UP CO OPERATIVE FEDRATION LTD,,C 39 PANKI KANPUR BLOCK KALYANPUR,For Free Alerts
112,Seed Dealers,Kanpur City,Kalyanpur,UPKAR BEEJ BHANDAR,,75/232 SABJIMANDI KANPUR BLOCK KALYAN PUR,For Free Alerts
113,Seed Dealers,Kanpur City,Kalyanpur,VAISNO AGRO TRADERS,,SABJI MANDI KANPUR BLOCK KALYANPUR,For Free Alerts
114,Seed Dealers,Kanpur City,Kalyanpur,VIDHYA GRAMODHYOG SANSTHAN,,KOYALA NAGAR KANPUR BLOCK KALYANPUR,For Free Alerts
115,Seed Dealers,Kanpur City,Kalyanpur,VIJAY BEEJ BHANDAR,,DWIVEDI NAGAR GALLA MANDI NAUBASTA KANPUR BLOCK KALYANPUR,For Free Alerts
116,Seed Dealers,Kanpur City,Kalyanpur,VINAYAK SEEDS,,75/232 SABJIMANDI KANPUR BLOCK KALYAN PUR,For Free Alerts
