Serial No,Type,District,Area,Dealer name,Mobile No,Address,NaPanta Mobile App
1,Seed Dealers,Lucknow,Gosaiganj,MS KISAN KEET NASAK,,GANGAGANJ SULTANPUR ROAD,For Free Alerts
2,Seed Dealers,Lucknow,Gosaiganj,MS. OM PRAKASH JAI PRAKASH,,BAHARAULI,For Free Alerts
3,Seed Dealers,Lucknow,Gosaiganj,Ms UP Cooperative Fedration Ltd,,32 Station Road,For Free Alerts
4,Seed Dealers,Lucknow,Gosaiganj,Ms. DIVEDI KHAD BHANDAR,,HARDOIYA BAZAR,For Free Alerts
5,Seed Dealers,Lucknow,Gosaiganj,Ms. GUPTA AGRO CENTRE,,GOSAIGANJ,For Free Alerts
6,Seed Dealers,Lucknow,Gosaiganj,Ms. HYDRIC FARM INPUTS LTD.,,SADARPUR KARORA,For Free Alerts
7,Seed Dealers,Lucknow,Gosaiganj,Ms. INTER STATE AGRICULTURE MARKETING AND PROCESSING CO. SO. LTD.,,KASIMPUR BIRUWA,For Free Alerts
8,Seed Dealers,Lucknow,Gosaiganj,Ms. NARYAN BEEJ BHANDAR,,MALAULI GALI,For Free Alerts
9,Seed Dealers,Lucknow,Gosaiganj,Ms. NEW CHAUDHARY PESTICIDES,,MUNSHIGANJ,For Free Alerts
10,Seed Dealers,Lucknow,Gosaiganj,Ms. NEW KISAN SEVA KENDRA,,HARDOIYA BAZAR,For Free Alerts
11,Seed Dealers,Lucknow,Gosaiganj,Ms. P.C.F. KENDRA,,AMETHI,For Free Alerts
12,Seed Dealers,Lucknow,Gosaiganj,Ms. P.C.F. KENDRA,,GANGAGANJ,For Free Alerts
13,Seed Dealers,Lucknow,Gosaiganj,Ms. PATEL BEEJ BAHANDAR,,NEHRU NAGAR BHARAULI,For Free Alerts
14,Seed Dealers,Lucknow,Gosaiganj,Ms. PATEL SEEDS,,MOHANALALGANJ ROAD,For Free Alerts
15,Seed Dealers,Lucknow,Gosaiganj,Ms. VERMA KRISHI SEVA KENDRA,,MUNSHIGANJ,For Free Alerts
16,Seed Dealers,Lucknow,Gosaiganj,Ms. VERMA TRADERS,,NEHRU NAGAR BHARAULI,For Free Alerts
17,Seed Dealers,Lucknow,Gosaiganj,Ms.MAURYA SEEDS,,NIVATIN TOLA,For Free Alerts
18,Seed Dealers,Lucknow,Gosaiganj,Ms.VED PRAKASH,,KEPRA MADARPUR,For Free Alerts
1,Seed Dealers,Lucknow,Kakori,Ms. GANGA BEEJ BHANDAR,,JEHATAMAL ROAD,For Free Alerts
2,Seed Dealers,Lucknow,Kakori,Ms. HIRALAL KHAD BHANDAR,,TEJKRISHNA KHERA,For Free Alerts
3,Seed Dealers,Lucknow,Kakori,Ms. J. B. FERTILIZERS AND SEEDS,,GAURI SAKRA,For Free Alerts
4,Seed Dealers,Lucknow,Kakori,Ms. KISAN SEVA KENDRA,,JEHATA KAKORI,For Free Alerts
5,Seed Dealers,Lucknow,Kakori,Ms. LALTA PRASAD VAISHYA AND SONS,,KAKORI MORE MOHAN ROAD,For Free Alerts
6,Seed Dealers,Lucknow,Kakori,Ms. NIGAM KRISHI SEVA KENDRA,,KAIYSTHAN KAKORI,For Free Alerts
7,Seed Dealers,Lucknow,Kakori,Ms. P.C.F. KENDRA,,KAKORI,For Free Alerts
8,Seed Dealers,Lucknow,Kakori,Ms. PANDAY BEEJ BHANDAR,,GWALPUR MOHAN ROAD,For Free Alerts
9,Seed Dealers,Lucknow,Kakori,Ms. RAJ BEEJ BHANDAR,,TEJKRISHNA KHERA,For Free Alerts
10,Seed Dealers,Lucknow,Kakori,Ms. SIYARAM BEEJ BHANDAR,,SHATUT KALA,For Free Alerts
11,Seed Dealers,Lucknow,Kakori,Ms.DINESH KUMAR GUPTA AND BROTHERS,,PURANA KATRA BAZAR COLONEY MAHABOOBTALA,For Free Alerts
12,Seed Dealers,Lucknow,Kakori,Ms.GAUTAM TRADERS,,JEHATA BARAWAN KALA,For Free Alerts
1,Seed Dealers,Lucknow,Mal,MS YADAV KHAD BHANDAR,,NABI PANAH,For Free Alerts
2,Seed Dealers,Lucknow,Mal,Ms. ANUJ TRADERS,,"PRAKASH MARKET, MAL",For Free Alerts
3,Seed Dealers,Lucknow,Mal,Ms. LALIT ENTERPRISES,,MAL,For Free Alerts
4,Seed Dealers,Lucknow,Mal,Ms. MAURYA BEEJ BAHANDAR AND KEET NASHAK,,"MAL, BHARWAN ROAD",For Free Alerts
5,Seed Dealers,Lucknow,Mal,Ms. NEW KISAN SEVA KENDRA,,MAL,For Free Alerts
6,Seed Dealers,Lucknow,Mal,Ms. OM PRAKASH MAURYA,,NAVIPANAH,For Free Alerts
7,Seed Dealers,Lucknow,Mal,Ms. PRAJAPATI TRADERS,,PARA BHADRAHI,For Free Alerts
8,Seed Dealers,Lucknow,Mal,Ms. PRATAP BEEJ BHANDAR,,MAL,For Free Alerts
9,Seed Dealers,Lucknow,Mal,Ms. SINGH TRADERS,,BHATKHERA CHAURAHA,For Free Alerts
10,Seed Dealers,Lucknow,Mal,Ms.KARAN BEEJ BHANDAR,,RAHIMABAD CHAURAHA AURAS ROAD,For Free Alerts
1,Seed Dealers,Lucknow,Malihabad,ANUJ KEETNASHAK KENDRA,,THANA MAL,For Free Alerts
2,Seed Dealers,Lucknow,Malihabad,GUPTA BEEJ BHANDAR,,KAKORI,For Free Alerts
3,Seed Dealers,Lucknow,Malihabad,KAMLASHANKER SHUKLA BEEJ BHANDAR,,GHDNO MAL,For Free Alerts
4,Seed Dealers,Lucknow,Malihabad,KUMAR BEEJ BHANDAR,,KAKORI,For Free Alerts
5,Seed Dealers,Lucknow,Malihabad,LALTA PRSAD VASH & SUNS,,KAKORI MODH,For Free Alerts
6,Seed Dealers,Lucknow,Malihabad,Ms. P.C.F. KENDRA,,DULARMAU,For Free Alerts
7,Seed Dealers,Lucknow,Malihabad,Ms. P.C.F. KENDRA,,MALIHABAD,For Free Alerts
8,Seed Dealers,Lucknow,Malihabad,P.C.F,,DULAR MAU,For Free Alerts
9,Seed Dealers,Lucknow,Malihabad,PHSAL SURKHA KANDRA,,KHUSHAL PURVA,For Free Alerts
10,Seed Dealers,Lucknow,Malihabad,SAHU BEEJ BHANDAR,,EBRAHIM GANJ,For Free Alerts
11,Seed Dealers,Lucknow,Malihabad,STAR SEED COMPANY,,MIRZA GANJ MALIHAGANJ,For Free Alerts
12,Seed Dealers,Lucknow,Malihabad,STAR SEED COMPANY,,MIRZA GANJ MALIHAGANJ,For Free Alerts
1,Seed Dealers,Lucknow,Mohanlalganj,AGRI CLINIC AGRI BUSSINESS CENTER,,MOHANLALGANJ,For Free Alerts
2,Seed Dealers,Lucknow,Mohanlalganj,DHAN LAXMI AGRI GENETICS PVT.LTD,,"VILLAGE-NEHRU NAGER,POST-BAHRAULI,TAHSIL,MOHANLAL GANJ,",For Free Alerts
3,Seed Dealers,Lucknow,Mohanlalganj,MS AGRI CLINIC AGRI BUSINESS CENTRE,,MOHANLALGANJ,For Free Alerts
4,Seed Dealers,Lucknow,Mohanlalganj,MS BRIJVASHI BEEJ BHANDAR,,MAURAWA ROAD,For Free Alerts
5,Seed Dealers,Lucknow,Mohanlalganj,MS PCF KENDRA,,MOHANLALGANJ,For Free Alerts
6,Seed Dealers,Lucknow,Mohanlalganj,MS PCF KENDRA,,"VIRURA, KALLI PASHIM",For Free Alerts
7,Seed Dealers,Lucknow,Mohanlalganj,MS RAMA TRADERS,,UTRAULI,For Free Alerts
8,Seed Dealers,Lucknow,Mohanlalganj,MS VIKAS SEWA KENDRA,,SAMESI,For Free Alerts
9,Seed Dealers,Lucknow,Mohanlalganj,Ms. HYDRIC FARM INPUTS LTD.,,SAMESI,For Free Alerts
10,Seed Dealers,Lucknow,Mohanlalganj,Ms. KISAN BEEJ BAHANDAR,,MOHANALALGANJ,For Free Alerts
11,Seed Dealers,Lucknow,Mohanlalganj,Ms. KISAN SEVA FASAL SURAKSHA KENDRA,,MAURAWANA MORH,For Free Alerts
12,Seed Dealers,Lucknow,Mohanlalganj,Ms. KISAN SEVA KENDRA,,NAGRAM,For Free Alerts
13,Seed Dealers,Lucknow,Mohanlalganj,Ms. KRISHI SEVA KENDRA,,KARORA,For Free Alerts
14,Seed Dealers,Lucknow,Mohanlalganj,Ms. NAV JYOTI KISAN PRODUCER CO. LTD.,,KEVALI ANSHIK,For Free Alerts
15,Seed Dealers,Lucknow,Mohanlalganj,Ms. NEW FASAL SURKASHA KENDRA,,SAMESI,For Free Alerts
16,Seed Dealers,Lucknow,Mohanlalganj,Ms. OM NARYAN BEEJ BHANDAR,,NIGOHA,For Free Alerts
17,Seed Dealers,Lucknow,Mohanlalganj,Ms. P.C.F. KENDRA,,KANKAHA,For Free Alerts
18,Seed Dealers,Lucknow,Mohanlalganj,Ms. PAL BEEJ BHANDAR,,NIGOHA BAZAR,For Free Alerts
19,Seed Dealers,Lucknow,Mohanlalganj,Ms. SINGH AGRICLINIC AND AGRI BUSINESS CENTRE,,KHUJAULI,For Free Alerts
20,Seed Dealers,Lucknow,Mohanlalganj,Ms. SUGAM BEEJ BHANDAR,,NIGOHA BAZAR,For Free Alerts
1,Seed Dealers,Lucknow,Sarojaninagar,MS Yash Agri Jenetics Pvt Ltd By Swastic Interprises,,F 118 TP Nagar Godam 134 TP Nagar,For Free Alerts
2,Seed Dealers,Lucknow,Sarojaninagar,Ms Eldorado Agriteck Pvt Ltd,,F 134 TP Nagar Kanpurroad,For Free Alerts
3,Seed Dealers,Lucknow,Sarojaninagar,Ms Endro Jenius Agro Sciences Pvt Ltd,,M 3 464 Sec H LDA Colony Kanpurroad,For Free Alerts
4,Seed Dealers,Lucknow,Sarojaninagar,Ms Gama Orgenomadeplus Pvt Ltd,,F 53 TP Nagar Kanpurroad,For Free Alerts
5,Seed Dealers,Lucknow,Sarojaninagar,Ms Rohini Seeds Pvt Ltd,,G 121 Faze 2 TP Nagar,For Free Alerts
6,Seed Dealers,Lucknow,Sarojaninagar,Ms. ESTER BIOCHEM PRIVATE LTD.,,KRISHNALOK PHASE-1,For Free Alerts
7,Seed Dealers,Lucknow,Sarojaninagar,Ms. MAA VAISHNO BEEJ BHANDAR,,HARONI,For Free Alerts
8,Seed Dealers,Lucknow,Sarojaninagar,Ms. P.C.F. KENDRA,,JAITI MORE,For Free Alerts
9,Seed Dealers,Lucknow,Sarojaninagar,Ms. P.C.F. KENDRA,,LONHA,For Free Alerts
10,Seed Dealers,Lucknow,Sarojaninagar,Ms. TIWARI KHAD BHANDAR,,BANTHRA BAZAR,For Free Alerts
11,Seed Dealers,Lucknow,Sarojaninagar,Ms.KISAN TRADING COMPANY,,AMAUSI,For Free Alerts
